Lote,Linea,Palma,Longitud,Latitud
34056,1,1,-73.196718000000,3.717556000000
34056,1,2,-73.196318000000,3.717556000000
34056,2,1,-73.197918000000,3.717956000000
34056,2,2,-73.197518000000,3.717956000000
34056,2,3,-73.197118000000,3.717956000000
34056,2,4,-73.196718000000,3.717956000000
34056,2,5,-73.196318000000,3.717956000000
34056,2,6,-73.195918000000,3.717956000000
34056,3,1,-73.197518000000,3.718356000000
34056,3,2,-73.197118000000,3.718356000000
34056,3,3,-73.196718000000,3.718356000000
34056,3,4,-73.196318000000,3.718356000000
34056,3,5,-73.195918000000,3.718356000000
34056,4,1,-73.196718000000,3.718756000000
34056,4,2,-73.196318000000,3.718756000000
34056,4,3,-73.195918000000,3.718756000000
34056,4,4,-73.195518000000,3.718756000000
34056,5,1,-73.196718000000,3.719156000000
34056,5,2,-73.196318000000,3.719156000000
34056,5,3,-73.195918000000,3.719156000000
34056,5,4,-73.195518000000,3.719156000000
34056,5,5,-73.195118000000,3.719156000000
34056,6,1,-73.196718000000,3.719556000000
34056,6,2,-73.196318000000,3.719556000000
34056,6,3,-73.195918000000,3.719556000000
34056,6,4,-73.195518000000,3.719556000000
34056,6,5,-73.195118000000,3.719556000000
34056,6,6,-73.194718000000,3.719556000000
34056,7,1,-73.196718000000,3.719956000000
34056,7,2,-73.196318000000,3.719956000000
34056,7,3,-73.195918000000,3.719956000000
34056,7,4,-73.195518000000,3.719956000000
34056,7,5,-73.195118000000,3.719956000000
34056,7,6,-73.194718000000,3.719956000000
34056,8,1,-73.197118000000,3.720356000000
34056,8,2,-73.196718000000,3.720356000000
34056,8,3,-73.196318000000,3.720356000000
34056,8,4,-73.195918000000,3.720356000000
34056,8,5,-73.195518000000,3.720356000000
34056,8,6,-73.195118000000,3.720356000000
34056,8,7,-73.194718000000,3.720356000000
34056,9,1,-73.197118000000,3.720756000000
34056,9,2,-73.196718000000,3.720756000000
34056,9,3,-73.196318000000,3.720756000000
34056,9,4,-73.195918000000,3.720756000000
34056,9,5,-73.195518000000,3.720756000000
34056,9,6,-73.195118000000,3.720756000000
34056,10,1,-73.197118000000,3.721156000000
34056,10,2,-73.196718000000,3.721156000000
34056,10,3,-73.196318000000,3.721156000000
34056,10,4,-73.195918000000,3.721156000000
34056,10,5,-73.195518000000,3.721156000000
34056,10,6,-73.195118000000,3.721156000000
34056,11,1,-73.197118000000,3.721556000000
34056,11,2,-73.196718000000,3.721556000000
34056,11,3,-73.196318000000,3.721556000000
34056,11,4,-73.195918000000,3.721556000000
34056,11,5,-73.195518000000,3.721556000000
34056,12,1,-73.196718000000,3.721956000000
34056,12,2,-73.196318000000,3.721956000000
34056,12,3,-73.195918000000,3.721956000000
34056,12,4,-73.195518000000,3.721956000000
